2026-03-18 13:38:48.201 | INFO     | database.firebase:<module>:12 - Firebase Admin SDK initialized successfully
2026-03-18 21:00:19.891 | INFO     | database.firebase:<module>:12 - Firebase Admin SDK initialized successfully
2026-03-18 21:00:27.641 | INFO     | __main__:create_random_student_user:47 - Created Auth user: LnqNCRyBotX3E1mbN9ywar9Dw7w1 | test.student1@aismarttransport.pk | password: kRRMl4&3MOSW (for testing only)
2026-03-18 21:00:28.654 | DEBUG    | __main__:create_random_student_user:60 - Stored user doc for UID LnqNCRyBotX3E1mbN9ywar9Dw7w1
2026-03-18 21:00:30.706 | INFO     | __main__:create_random_student_user:80 - Created student doc test_001 → UID LnqNCRyBotX3E1mbN9ywar9Dw7w1 at (31.353098, 73.190781)
2026-03-18 21:00:47.823 | INFO     | database.firebase:<module>:12 - Firebase Admin SDK initialized successfully
2026-03-18 21:00:57.251 | INFO     | __main__:create_random_student_user:48 - Created Auth user: AboV3lSZ7cQQhBI5JEuEv0GJEiD3 | test.student1@aismarttransport.pk | password: OV8vrsiyJxkO (for testing only)
2026-03-18 21:00:58.667 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID AboV3lSZ7cQQhBI5JEuEv0GJEiD3
2026-03-18 21:01:02.324 | INFO     | __main__:create_random_student_user:81 - Created student doc test_001 → UID AboV3lSZ7cQQhBI5JEuEv0GJEiD3 at (31.353567, 73.136078)
2026-03-18 21:01:03.603 | INFO     | __main__:create_random_student_user:48 - Created Auth user: 0y46jpTyxPbVwfLNo83NKSBsNUw1 | test.student2@aismarttransport.pk | password: tYFsacg4ta%I (for testing only)
2026-03-18 21:01:04.226 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID 0y46jpTyxPbVwfLNo83NKSBsNUw1
2026-03-18 21:01:06.521 | INFO     | __main__:create_random_student_user:81 - Created student doc test_002 → UID 0y46jpTyxPbVwfLNo83NKSBsNUw1 at (31.371407, 73.118154)
2026-03-18 21:01:07.801 | INFO     | __main__:create_random_student_user:48 - Created Auth user: kClFwo380LeMfSN4DnnX7K3IIoB3 | test.student3@aismarttransport.pk | password: 3l2dLT5SpDqr (for testing only)
2026-03-18 21:01:08.832 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID kClFwo380LeMfSN4DnnX7K3IIoB3
2026-03-18 21:01:09.884 | INFO     | __main__:create_random_student_user:81 - Created student doc test_003 → UID kClFwo380LeMfSN4DnnX7K3IIoB3 at (31.412814, 73.111171)
2026-03-18 21:01:11.332 | INFO     | __main__:create_random_student_user:48 - Created Auth user: jgUSvNtXcROyIYZviZxx2RuLkP23 | test.student4@aismarttransport.pk | password: @temN5qT7i1D (for testing only)
2026-03-18 21:01:11.902 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID jgUSvNtXcROyIYZviZxx2RuLkP23
2026-03-18 21:01:14.312 | INFO     | __main__:create_random_student_user:81 - Created student doc test_004 → UID jgUSvNtXcROyIYZviZxx2RuLkP23 at (31.527629, 73.039507)
2026-03-18 21:01:16.167 | INFO     | __main__:create_random_student_user:48 - Created Auth user: nqxMp7vFeIU7G00sflOgWlAD0Bs1 | test.student5@aismarttransport.pk | password: y59SiW5EY^1o (for testing only)
2026-03-18 21:01:16.812 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID nqxMp7vFeIU7G00sflOgWlAD0Bs1
2026-03-18 21:01:17.496 | INFO     | __main__:create_random_student_user:81 - Created student doc test_005 → UID nqxMp7vFeIU7G00sflOgWlAD0Bs1 at (31.313195, 73.198579)
2026-03-18 21:01:18.825 | INFO     | __main__:create_random_student_user:48 - Created Auth user: 18pXTrMA2semrQmI24UL601yjH03 | test.student6@aismarttransport.pk | password: f$EK0K6jkvMS (for testing only)
2026-03-18 21:01:19.635 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID 18pXTrMA2semrQmI24UL601yjH03
2026-03-18 21:01:20.673 | INFO     | __main__:create_random_student_user:81 - Created student doc test_006 → UID 18pXTrMA2semrQmI24UL601yjH03 at (31.388375, 73.125302)
2026-03-18 21:01:21.930 | INFO     | __main__:create_random_student_user:48 - Created Auth user: 8U9EfGq0WbWN9QafXZv4jiH6zpr2 | test.student7@aismarttransport.pk | password: COXaFv%izs@9 (for testing only)
2026-03-18 21:01:22.493 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID 8U9EfGq0WbWN9QafXZv4jiH6zpr2
2026-03-18 21:01:23.670 | INFO     | __main__:create_random_student_user:81 - Created student doc test_007 → UID 8U9EfGq0WbWN9QafXZv4jiH6zpr2 at (31.518367, 73.008521)
2026-03-18 21:01:24.873 | INFO     | __main__:create_random_student_user:48 - Created Auth user: EVxqLw0RzTVliA4sT8dPPM1l4Bk1 | test.student8@aismarttransport.pk | password: PC88pcxq48#j (for testing only)
2026-03-18 21:01:25.430 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID EVxqLw0RzTVliA4sT8dPPM1l4Bk1
2026-03-18 21:01:26.477 | INFO     | __main__:create_random_student_user:81 - Created student doc test_008 → UID EVxqLw0RzTVliA4sT8dPPM1l4Bk1 at (31.520707, 73.173871)
2026-03-18 21:01:27.752 | INFO     | __main__:create_random_student_user:48 - Created Auth user: mpkPzElNyQgOj5Gjp2pL2qp9NrC2 | test.student9@aismarttransport.pk | password: xmxnhyXJkd@8 (for testing only)
2026-03-18 21:01:28.316 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID mpkPzElNyQgOj5Gjp2pL2qp9NrC2
2026-03-18 21:01:28.864 | INFO     | __main__:create_random_student_user:81 - Created student doc test_009 → UID mpkPzElNyQgOj5Gjp2pL2qp9NrC2 at (31.379826, 73.054694)
2026-03-18 21:01:30.383 | INFO     | __main__:create_random_student_user:48 - Created Auth user: nUxykeoX1TQCQjaQ1922mCt94Xy1 | test.student10@aismarttransport.pk | password: 81Wuac0L*aj% (for testing only)
2026-03-18 21:01:30.941 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID nUxykeoX1TQCQjaQ1922mCt94Xy1
2026-03-18 21:01:31.569 | INFO     | __main__:create_random_student_user:81 - Created student doc test_010 → UID nUxykeoX1TQCQjaQ1922mCt94Xy1 at (31.448613, 73.002066)
2026-03-18 21:01:32.817 | INFO     | __main__:create_random_student_user:48 - Created Auth user: yP3D7IKUGfg5ZdjUptplOXfXL7H3 | test.student11@aismarttransport.pk | password: x57XxgckbPPl (for testing only)
2026-03-18 21:01:35.704 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID yP3D7IKUGfg5ZdjUptplOXfXL7H3
2026-03-18 21:01:36.276 | INFO     | __main__:create_random_student_user:81 - Created student doc test_011 → UID yP3D7IKUGfg5ZdjUptplOXfXL7H3 at (31.530623, 73.179850)
2026-03-18 21:01:37.507 | INFO     | __main__:create_random_student_user:48 - Created Auth user: 25RA51Z3FIWdr6u4GPRZMp5vQtG3 | test.student12@aismarttransport.pk | password: O!@rd9UD9YDT (for testing only)
2026-03-18 21:01:38.540 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID 25RA51Z3FIWdr6u4GPRZMp5vQtG3
2026-03-18 21:01:39.098 | INFO     | __main__:create_random_student_user:81 - Created student doc test_012 → UID 25RA51Z3FIWdr6u4GPRZMp5vQtG3 at (31.426211, 73.066116)
2026-03-18 21:01:40.516 | INFO     | __main__:create_random_student_user:48 - Created Auth user: s3sVQ2tcA7UW3jxtqwkx6RKyvxg2 | test.student13@aismarttransport.pk | password: tPGigi$NdG%3 (for testing only)
2026-03-18 21:01:41.297 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID s3sVQ2tcA7UW3jxtqwkx6RKyvxg2
2026-03-18 21:01:41.852 | INFO     | __main__:create_random_student_user:81 - Created student doc test_013 → UID s3sVQ2tcA7UW3jxtqwkx6RKyvxg2 at (31.494132, 73.127457)
2026-03-18 21:01:43.101 | INFO     | __main__:create_random_student_user:48 - Created Auth user: zn21N2UkW4Q2eyg40wsBtITQ4v53 | test.student14@aismarttransport.pk | password: &MAm24s7E4tE (for testing only)
2026-03-18 21:01:43.643 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID zn21N2UkW4Q2eyg40wsBtITQ4v53
2026-03-18 21:01:44.183 | INFO     | __main__:create_random_student_user:81 - Created student doc test_014 → UID zn21N2UkW4Q2eyg40wsBtITQ4v53 at (31.342878, 73.051109)
2026-03-18 21:01:45.433 | INFO     | __main__:create_random_student_user:48 - Created Auth user: lBCfVrXl2MTN3ybLySSGU9PoGPJ3 | test.student15@aismarttransport.pk | password: fRw7zY%DvqLh (for testing only)
2026-03-18 21:01:46.059 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID lBCfVrXl2MTN3ybLySSGU9PoGPJ3
2026-03-18 21:01:46.614 | INFO     | __main__:create_random_student_user:81 - Created student doc test_015 → UID lBCfVrXl2MTN3ybLySSGU9PoGPJ3 at (31.517162, 73.046157)
2026-03-18 21:01:48.116 | INFO     | __main__:create_random_student_user:48 - Created Auth user: hPjDdrHHsfPXkodTFuZQ3u1vb712 | test.student16@aismarttransport.pk | password: up8slPfj9P&L (for testing only)
2026-03-18 21:01:49.154 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID hPjDdrHHsfPXkodTFuZQ3u1vb712
2026-03-18 21:01:51.019 | INFO     | __main__:create_random_student_user:81 - Created student doc test_016 → UID hPjDdrHHsfPXkodTFuZQ3u1vb712 at (31.317576, 73.180352)
2026-03-18 21:01:52.434 | INFO     | __main__:create_random_student_user:48 - Created Auth user: l4BEq64DslgF3bK3sq8EQtG9o2E2 | test.student17@aismarttransport.pk | password: &KVGNGA1&8&T (for testing only)
2026-03-18 21:01:53.144 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID l4BEq64DslgF3bK3sq8EQtG9o2E2
2026-03-18 21:01:53.757 | INFO     | __main__:create_random_student_user:81 - Created student doc test_017 → UID l4BEq64DslgF3bK3sq8EQtG9o2E2 at (31.301844, 73.141568)
2026-03-18 21:01:55.496 | INFO     | __main__:create_random_student_user:48 - Created Auth user: BKBGY8bYqOWu0bXQ7UoqdYXN9Mh1 | test.student18@aismarttransport.pk | password: Fa!zVymDBb8$ (for testing only)
2026-03-18 21:01:56.061 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID BKBGY8bYqOWu0bXQ7UoqdYXN9Mh1
2026-03-18 21:01:57.095 | INFO     | __main__:create_random_student_user:81 - Created student doc test_018 → UID BKBGY8bYqOWu0bXQ7UoqdYXN9Mh1 at (31.494804, 73.166843)
2026-03-18 21:01:58.315 | INFO     | __main__:create_random_student_user:48 - Created Auth user: HIX3OyZEL5Qo4hoMnxCfAXft8182 | test.student19@aismarttransport.pk | password: KH$$L*5SLua1 (for testing only)
2026-03-18 21:01:58.884 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID HIX3OyZEL5Qo4hoMnxCfAXft8182
2026-03-18 21:01:59.433 | INFO     | __main__:create_random_student_user:81 - Created student doc test_019 → UID HIX3OyZEL5Qo4hoMnxCfAXft8182 at (31.415010, 73.081853)
2026-03-18 21:02:00.725 | INFO     | __main__:create_random_student_user:48 - Created Auth user: NKspButkIqMH6H6HwK2RZ5FogSI2 | test.student20@aismarttransport.pk | password: E1k%lr2O5@DN (for testing only)
2026-03-18 21:02:01.302 | DEBUG    | __main__:create_random_student_user:61 - Stored user doc for UID NKspButkIqMH6H6HwK2RZ5FogSI2
